source,source_product_id,name,image_url,regular_price,sale_price,stock_quantity,source_order
biznecubano,73346,Alfombra de chenilla,https://biznecubano.com/images/small/tenants/1410/products/73346/OY8-product-cover.jpeg,,,,1
biznecubano,73358,Juego de cortina tapa sol -CRTN,https://biznecubano.com/images/small/tenants/1410/products/73358/2y1-product-cover.jpeg,,,,2
biznecubano,82193,Juego de sabanas Queen Majestic imperial,https://biznecubano.com/images/small/tenants/1410/products/82193/nRo-product-cover.jpeg,,,,3
biznecubano,82194,Juego de Sábanas Majestic King,https://biznecubano.com/images/small/tenants/1410/products/82194/2Dj-product-cover.jpeg,,,,4
biznecubano,85096,Juego de Sábanas Majestic Imperial – TWIN,https://biznecubano.com/images/small/tenants/1410/products/85096/IVt-product-cover.jpeg,,,,5
biznecubano,85429,Colcha 180x220,https://biznecubano.com/images/small/tenants/1410/products/85429/bnZ-product-cover.jpeg,,,,6
biznecubano,85532,Tendedero Plegable Azul,https://biznecubano.com/images/small/tenants/1410/products/85532/5ku-product-cover.jpeg,26,,3,7
biznecubano,87485,Almohada Majestic Imperial,https://biznecubano.com/images/small/tenants/1410/products/87485/H6t-product-cover.jpeg,17,,4,8
biznecubano,89044,Asiento de Inodoro,https://biznecubano.com/images/small/tenants/1410/products/89044/ml6-product-cover.jpeg,15,,13,9
biznecubano,90449,Organizador de 4 niveles rectangular,https://biznecubano.com/images/small/tenants/1410/products/90449/g9X-product-cover.jpeg,,,,10
biznecubano,90452,Alfombra de Cocina engomada CPTK-234,https://biznecubano.com/images/small/tenants/1410/products/90452/E65-product-cover.jpeg,11,,1,11
biznecubano,93942,Espejo de Cuerpo Completo de Pie,https://biznecubano.com/images/small/tenants/1410/products/93942/dtG-product-cover.jpeg,37,,5,12
biznecubano,98378,Doyle Individual Metalizado (6 piezas),https://biznecubano.com/images/small/tenants/1410/products/98378/0N2-product-cover.jpeg,,,,13
biznecubano,98412,Sobrecama lisa full,https://biznecubano.com/images/small/tenants/1410/products/98412/2X0-product-cover.jpeg,,,,14
biznecubano,98583,Sobrecama lisa king,https://biznecubano.com/images/small/tenants/1410/products/98583/jJp-product-cover.jpeg,,,,15
biznecubano,98586,Toallas pequeña,https://biznecubano.com/images/small/tenants/1410/products/98586/TEF-product-cover.jpeg,10,,10,16
biznecubano,98927,Doyle Elegante Rectangular (6 piezas),https://biznecubano.com/images/small/tenants/1410/products/98927/tlM-product-cover.jpeg,,,,17
biznecubano,98933,Alfombra Peluche 58x40,https://biznecubano.com/images/small/tenants/1410/products/98933/PIJ-product-cover.jpeg,,,,18
biznecubano,98935,Alfombra Peluche 77x50,https://biznecubano.com/images/small/tenants/1410/products/98935/2YD-product-cover.jpeg,,,,19
biznecubano,99361,Juego de Edredón 5 piezas Queen,https://biznecubano.com/images/small/tenants/1410/products/99361/5Rt-product-cover.jpeg,,,,20
biznecubano,99363,Juego de Edredón 5 piezas Full,https://biznecubano.com/images/small/tenants/1410/products/99363/53p-product-cover.jpeg,,,,21
biznecubano,99366,Lámpara recargable portátil,https://biznecubano.com/images/small/tenants/1410/products/99366/zYj-product-cover.jpeg,25,,2,22
biznecubano,100508,Cortinero Expandible plateado,https://biznecubano.com/images/small/tenants/1410/products/100508/0iU-product-cover.jpeg,10,7,9,23
biznecubano,100628,Bata de baño,https://biznecubano.com/images/small/tenants/1410/products/100628/TMh-product-cover.jpeg,,,,24
biznecubano,100764,Colcha navideña 180x220,https://biznecubano.com/images/small/tenants/1410/products/100764/tbE-product-cover.jpeg,,,,25
biznecubano,100779,Juego de cortina tapa sol Royale,https://biznecubano.com/images/small/tenants/1410/products/100779/Z3s-product-cover.jpeg,,,,26
biznecubano,100780,Juego de cortina tapa sol Royale con diseño,https://biznecubano.com/images/small/tenants/1410/products/100780/SuN-product-cover.jpeg,,,,27
biznecubano,102236,Shampoo Matizador Oggy Ultra Blonde,https://biznecubano.com/images/small/tenants/1410/products/102236/C5O-product-cover.jpeg,6,,2,28
biznecubano,102290,Botella térmica 1,https://biznecubano.com/images/small/tenants/1410/products/102290/FoT-product-cover.jpeg,18,,1,29
biznecubano,102294,Botella térmica 4,https://biznecubano.com/images/small/tenants/1410/products/102294/PiG-product-cover.jpeg,18,,1,30
biznecubano,102295,Botella térmica 3,https://biznecubano.com/images/small/tenants/1410/products/102295/pg2-product-cover.jpeg,18,,1,31
biznecubano,102299,Sobrecama tiwn,https://biznecubano.com/images/small/tenants/1410/products/102299/Gvt-product-cover.jpeg,,,,32
biznecubano,103153,Estante Multiuso 2 niveles blanco,https://biznecubano.com/images/small/tenants/1410/products/103153/NHH-product-cover.jpeg,20,,0,33
biznecubano,104720,Utensilios de silicona con cuchillos,https://biznecubano.com/images/small/tenants/1410/products/104720/mky-product-cover.jpeg,,,,34
biznecubano,105154,Colchón de resorte 180x200cm Dawang,https://biznecubano.com/images/small/tenants/1410/products/105154/AoQ-product-cover.jpeg,320,,1,35
biznecubano,105164,Exprimidor simple,https://biznecubano.com/images/small/tenants/1410/products/105164/rGx-product-cover.jpeg,4,,3,36
biznecubano,105173,Ramo de girasoles,https://biznecubano.com/images/small/tenants/1410/products/105173/B2X-product-cover.jpeg,8,,5,37
biznecubano,105178,Alfombra suave Rombo 50 x 80,https://biznecubano.com/images/small/tenants/1410/products/105178/6md-product-cover.jpeg,,,,38
biznecubano,105181,Rallador,https://biznecubano.com/images/small/tenants/1410/products/105181/KSN-product-cover.jpeg,,,,39
biznecubano,105235,Helecho hoja fina,https://biznecubano.com/images/small/tenants/1410/products/105235/fby-product-cover.jpeg,8,,1,40
biznecubano,107259,Bucaro blanco,https://biznecubano.com/images/small/tenants/1410/products/107259/nX8-product-cover.jpeg,17,,1,41
biznecubano,107264,Termo térmico 1L,https://biznecubano.com/images/small/tenants/1410/products/107264/Dwd-product-cover.jpeg,,,,42
biznecubano,107265,Forro para 6 sillas + mesa rectangular,https://biznecubano.com/images/small/tenants/1410/products/107265/Gco-product-cover.jpeg,,,,43
biznecubano,107266,Mantel cuadrado,https://biznecubano.com/images/small/tenants/1410/products/107266/9IK-product-cover.jpeg,,,,44
biznecubano,107267,Mantel circular,https://biznecubano.com/images/small/tenants/1410/products/107267/BwG-product-cover.jpeg,,,,45
biznecubano,107268,Cojin decorativo,https://biznecubano.com/images/small/tenants/1410/products/107268/zW3-product-cover.jpeg,,,,46
biznecubano,107269,Cojín decorativo,https://biznecubano.com/images/small/tenants/1410/products/107269/Pwe-product-cover.jpeg,,,,47
biznecubano,107282,Vasos de vidrio (altos),https://biznecubano.com/images/small/tenants/1410/products/107282/d0c-product-cover.jpeg,7,,2,48
biznecubano,107283,Vasos de vidrio (medianos),https://biznecubano.com/images/small/tenants/1410/products/107283/cI9-product-cover.jpeg,7,,3,49
biznecubano,107285,Maceta con suculenta,https://biznecubano.com/images/small/tenants/1410/products/107285/NlU-product-cover.jpeg,,,,50
biznecubano,107288,Set para baño completo (15 piezas),https://biznecubano.com/images/small/tenants/1410/products/107288/pc0-product-cover.jpeg,,,,51
biznecubano,107314,Cojín decorativo,https://biznecubano.com/images/small/tenants/1410/products/107314/Ze9-product-cover.jpeg,,,,52
biznecubano,107353,Cesta tipo mimbre redonda,https://biznecubano.com/images/small/tenants/1410/products/107353/lMo-product-cover.jpeg,10,,1,53
biznecubano,107355,Cesta tipo mimbre rectangular,https://biznecubano.com/images/small/tenants/1410/products/107355/ocy-product-cover.jpeg,10,,1,54
biznecubano,107505,Colchón 180x200cm Dawang + 2 almohadas hoteleras,https://biznecubano.com/images/small/tenants/1410/products/107505/PyL-product-cover.jpeg,340,,1,55
biznecubano,108063,Shampo + Acondicionador Oggy de Romero,https://biznecubano.com/images/small/tenants/1410/products/108063/hFF-product-cover.jpeg,7,,1,56
biznecubano,108754,Colchón - EDSM A - 3/4,https://biznecubano.com/images/small/tenants/1410/products/108754/Dff-product-cover.jpeg,275,,,57
biznecubano,108755,Colchón - EDSM A - Camero,https://biznecubano.com/images/small/tenants/1410/products/108755/jkj-product-cover.jpeg,290,,,58
biznecubano,108756,Colchón - EDSM A - Queen,https://biznecubano.com/images/small/tenants/1410/products/108756/1bR-product-cover.jpeg,310,,,59
biznecubano,108757,Colchón - EDSM A - King,https://biznecubano.com/images/small/tenants/1410/products/108757/pnc-product-cover.jpeg,340,,,60
biznecubano,108758,Colchón 3/4 + Almohada - EDSM A,https://biznecubano.com/images/small/tenants/1410/products/108758/kCV-product-cover.jpeg,290,,,61
biznecubano,108759,Colchón Camero + Almohada - EDSM A,https://biznecubano.com/images/small/tenants/1410/products/108759/sBB-product-cover.jpeg,310,,,62
biznecubano,108760,Colchón Queen + Almohada - EDSM A,https://biznecubano.com/images/small/tenants/1410/products/108760/C1K-product-cover.jpeg,330,,,63
biznecubano,108761,Colchón King + Almohada - EDSM A,https://biznecubano.com/images/small/tenants/1410/products/108761/Q2u-product-cover.jpeg,365,,,64
biznecubano,108824,Set de Jarra con Vasos,https://biznecubano.com/images/small/tenants/1410/products/108824/tOp-product-cover.jpeg,14,,1,65
biznecubano,108854,Alfombra decorativa 80x120cm,https://biznecubano.com/images/small/tenants/1410/products/108854/CXR-product-cover.jpeg,25,,2,66
biznecubano,108913,Mesita infantil,https://biznecubano.com/images/small/tenants/1410/products/108913/JUO-product-cover.jpeg,,,,67
