Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,Sale price,Manage stock?,Stock,In stock?,Images,Meta: _cvd_source,Meta: _cvd_source_product_id
simple,CV-BIZ-73346,Alfombra de chenilla,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/73346/OY8-product-cover.jpeg,biznecubano,73346
simple,CV-BIZ-73358,Juego de cortina tapa sol -CRTN,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/73358/2y1-product-cover.jpeg,biznecubano,73358
simple,CV-BIZ-82193,Juego de sabanas Queen Majestic imperial,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/82193/nRo-product-cover.jpeg,biznecubano,82193
simple,CV-BIZ-82194,Juego de Sábanas Majestic King,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/82194/2Dj-product-cover.jpeg,biznecubano,82194
simple,CV-BIZ-85096,Juego de Sábanas Majestic Imperial – TWIN,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/85096/IVt-product-cover.jpeg,biznecubano,85096
simple,CV-BIZ-85429,Colcha 180x220,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/85429/bnZ-product-cover.jpeg,biznecubano,85429
simple,CV-BIZ-85532,Tendedero Plegable Azul,1,0,visible,26,,1,3,1,https://biznecubano.com/images/small/tenants/1410/products/85532/5ku-product-cover.jpeg,biznecubano,85532
simple,CV-BIZ-87485,Almohada Majestic Imperial,1,0,visible,17,,1,4,1,https://biznecubano.com/images/small/tenants/1410/products/87485/H6t-product-cover.jpeg,biznecubano,87485
simple,CV-BIZ-89044,Asiento de Inodoro,1,0,visible,15,,1,13,1,https://biznecubano.com/images/small/tenants/1410/products/89044/ml6-product-cover.jpeg,biznecubano,89044
simple,CV-BIZ-90449,Organizador de 4 niveles rectangular,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/90449/g9X-product-cover.jpeg,biznecubano,90449
simple,CV-BIZ-90452,Alfombra de Cocina engomada CPTK-234,1,0,visible,11,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/90452/E65-product-cover.jpeg,biznecubano,90452
simple,CV-BIZ-93942,Espejo de Cuerpo Completo de Pie,1,0,visible,37,,1,5,1,https://biznecubano.com/images/small/tenants/1410/products/93942/dtG-product-cover.jpeg,biznecubano,93942
simple,CV-BIZ-98378,Doyle Individual Metalizado (6 piezas),1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/98378/0N2-product-cover.jpeg,biznecubano,98378
simple,CV-BIZ-98412,Sobrecama lisa full,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/98412/2X0-product-cover.jpeg,biznecubano,98412
simple,CV-BIZ-98583,Sobrecama lisa king,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/98583/jJp-product-cover.jpeg,biznecubano,98583
simple,CV-BIZ-98586,Toallas pequeña,1,0,visible,10,,1,10,1,https://biznecubano.com/images/small/tenants/1410/products/98586/TEF-product-cover.jpeg,biznecubano,98586
simple,CV-BIZ-98927,Doyle Elegante Rectangular (6 piezas),1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/98927/tlM-product-cover.jpeg,biznecubano,98927
simple,CV-BIZ-98933,Alfombra Peluche 58x40,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/98933/PIJ-product-cover.jpeg,biznecubano,98933
simple,CV-BIZ-98935,Alfombra Peluche 77x50,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/98935/2YD-product-cover.jpeg,biznecubano,98935
simple,CV-BIZ-99361,Juego de Edredón 5 piezas Queen,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/99361/5Rt-product-cover.jpeg,biznecubano,99361
simple,CV-BIZ-99363,Juego de Edredón 5 piezas Full,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/99363/53p-product-cover.jpeg,biznecubano,99363
simple,CV-BIZ-99366,Lámpara recargable portátil,1,0,visible,25,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/99366/zYj-product-cover.jpeg,biznecubano,99366
simple,CV-BIZ-100508,Cortinero Expandible plateado,1,0,visible,10,7,1,9,1,https://biznecubano.com/images/small/tenants/1410/products/100508/0iU-product-cover.jpeg,biznecubano,100508
simple,CV-BIZ-100628,Bata de baño,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/100628/TMh-product-cover.jpeg,biznecubano,100628
simple,CV-BIZ-100764,Colcha navideña 180x220,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/100764/tbE-product-cover.jpeg,biznecubano,100764
simple,CV-BIZ-100779,Juego de cortina tapa sol Royale,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/100779/Z3s-product-cover.jpeg,biznecubano,100779
simple,CV-BIZ-100780,Juego de cortina tapa sol Royale con diseño,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/100780/SuN-product-cover.jpeg,biznecubano,100780
simple,CV-BIZ-102236,Shampoo Matizador Oggy Ultra Blonde,1,0,visible,6,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/102236/C5O-product-cover.jpeg,biznecubano,102236
simple,CV-BIZ-102290,Botella térmica 1,1,0,visible,18,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/102290/FoT-product-cover.jpeg,biznecubano,102290
