municipio,zona,tarifa_cup,activo,origen
Arroyo Naranjo,,3000,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Poey,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Santa Amalia,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Mantilla,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,La Palma,2000,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Víbora Park,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Los Pinos,2300,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Managua,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Calvario,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Güinera,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Eléctrico,2700,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Párraga,2400,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Arroyo Apolo,2000,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Porvenir,2300,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Montejo,2300,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Callejas,2000,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Vieja Linda,2300,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Rosario,2400,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Capri,2400,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Comodoro,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,El Retiro,2500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Parcelación Moderna,2900,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Gavilán,3500,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,El Moro,2300,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Reparto La Solita,2300,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Las Guásimas,3300,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Café Colón,2400,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Naranjito,1700,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Las Lajas,2400,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Reparto Eléctrico,2700,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,La Fortuna,2300,yes,BizneCubano verificado 2026-09-05
Arroyo Naranjo,Arroyo Naranjo,3000,yes,BizneCubano verificado 2026-09-05
Boyeros,,3500,yes,BizneCubano verificado 2026-09-05
Boyeros,Santiago de las Vegas,3300,yes,BizneCubano verificado 2026-09-05
Boyeros,Rancho Boyeros,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Calabazar,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Abel Santamaría,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Fontanar,2600,yes,BizneCubano verificado 2026-09-05
Boyeros,Wajay,2900,yes,BizneCubano verificado 2026-09-05
Boyeros,Altahabana,1900,yes,BizneCubano verificado 2026-09-05
Boyeros,Capdevila,2000,yes,BizneCubano verificado 2026-09-05
Boyeros,Aldabó,2000,yes,BizneCubano verificado 2026-09-05
Boyeros,Trébol,2600,yes,BizneCubano verificado 2026-09-05
Boyeros,Mulgoba,3200,yes,BizneCubano verificado 2026-09-05
Boyeros,Los Cocos,3600,yes,BizneCubano verificado 2026-09-05
Boyeros,La Catalina,3200,yes,BizneCubano verificado 2026-09-05
Boyeros,Lídice,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,El Chico,3100,yes,BizneCubano verificado 2026-09-05
Boyeros,Juan Manuel Márquez,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Alturas de La Habana,2600,yes,BizneCubano verificado 2026-09-05
Boyeros,Sierra Maestra,3500,yes,BizneCubano verificado 2026-09-05
Boyeros,El Globo,3000,yes,BizneCubano verificado 2026-09-05
Boyeros,Nuevo Santiago,2900,yes,BizneCubano verificado 2026-09-05
Boyeros,La Fortuna,2300,yes,BizneCubano verificado 2026-09-05
Boyeros,Miraflores Viejos,2800,yes,BizneCubano verificado 2026-09-05
Boyeros,Cepero Bonilla,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,El Trigal,2400,yes,BizneCubano verificado 2026-09-05
Boyeros,José Antonio Saco,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Ampliación de Mulgoba,3200,yes,BizneCubano verificado 2026-09-05
Boyeros,Villa Nueva,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Aurora,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Nueva Aurora,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,El Especial,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Armada-Aldabó,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Embil,2800,yes,BizneCubano verificado 2026-09-05
Boyeros,Río Verde,2600,yes,BizneCubano verificado 2026-09-05
Boyeros,Mazorra,2600,yes,BizneCubano verificado 2026-09-05
Boyeros,Panamérica,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Baluarte,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Berenguer,2900,yes,BizneCubano verificado 2026-09-05
Boyeros,Nazareno,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Las Cañas,2600,yes,BizneCubano verificado 2026-09-05
Boyeros,El Rincón,3800,yes,BizneCubano verificado 2026-09-05
Boyeros,Bejucal,5000,yes,BizneCubano verificado 2026-09-05
Boyeros,Reloj Club,1900,yes,BizneCubano verificado 2026-09-05
Boyeros,Río Cristal,2400,yes,BizneCubano verificado 2026-09-05
Boyeros,Aeropuerto Terminal 1,3000,yes,BizneCubano verificado 2026-09-05
Boyeros,Aeropuerto Terminal 2,3000,yes,BizneCubano verificado 2026-09-05
Boyeros,1ro de Mayo,2700,yes,BizneCubano verificado 2026-09-05
Boyeros,Aeropuerto Terminal 3,3000,yes,BizneCubano verificado 2026-09-05
Boyeros,Aeropuerto Aerovaradero,3000,yes,BizneCubano verificado 2026-09-05
Boyeros,Aeropuerto Terminal 5,3000,yes,BizneCubano verificado 2026-09-05
Boyeros,Lugardita,2900,yes,BizneCubano verificado 2026-09-05
Boyeros,Cacahual,2800,yes,BizneCubano verificado 2026-09-05
Boyeros,María del Carmen,2300,yes,BizneCubano verificado 2026-09-05
Boyeros,Boyeros,3500,yes,BizneCubano verificado 2026-09-05
Centro Habana,,1600,yes,BizneCubano verificado 2026-09-05
Centro Habana,Cayo Hueso,1600,yes,BizneCubano verificado 2026-09-05
Centro Habana,Dragones,1600,yes,BizneCubano verificado 2026-09-05
Centro Habana,Colón,1700,yes,BizneCubano verificado 2026-09-05
Centro Habana,Los Sitios,1600,yes,BizneCubano verificado 2026-09-05
Centro Habana,Pueblo Nuevo,1600,yes,BizneCubano verificado 2026-09-05
Centro Habana,Centro Habana,1600,yes,BizneCubano verificado 2026-09-05
Cerro,,1700,yes,BizneCubano verificado 2026-09-05
Cerro,El Cerro,1700,yes,BizneCubano verificado 2026-09-05
Cerro,Casino Deportivo,1650,yes,BizneCubano verificado 2026-09-05
Cerro,Las Cañas,1700,yes,BizneCubano verificado 2026-09-05
Cerro,Palatino,1650,yes,BizneCubano verificado 2026-09-05
Cerro,El Canal,1650,yes,BizneCubano verificado 2026-09-05
Cerro,Esquina de Tejas,1650,yes,BizneCubano verificado 2026-09-05
Cerro,Reparto Martí,1700,yes,BizneCubano verificado 2026-09-05
Cerro,Atarés,1650,yes,BizneCubano verificado 2026-09-05
Cerro,Puentes Grandes,1600,yes,BizneCubano verificado 2026-09-05
Cerro,20 de Mayo,1600,yes,BizneCubano verificado 2026-09-05
Cerro,Ayestarán,1600,yes,BizneCubano verificado 2026-09-05
Cotorro,,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Santa María del Rosario,3300,yes,BizneCubano verificado 2026-09-05
Cotorro,Cotorro,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Cuatro Caminos,3900,yes,BizneCubano verificado 2026-09-05
Cotorro,Alberro,3600,yes,BizneCubano verificado 2026-09-05
Cotorro,Magdalena,3200,yes,BizneCubano verificado 2026-09-05
Cotorro,Vedado Cotorro,3300,yes,BizneCubano verificado 2026-09-05
Cotorro,Residencial América,3100,yes,BizneCubano verificado 2026-09-05
Cotorro,Residencial Paraíso,3000,yes,BizneCubano verificado 2026-09-05
Cotorro,Bello Palmar,3300,yes,BizneCubano verificado 2026-09-05
Cotorro,Lotería,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,La Portada,3600,yes,BizneCubano verificado 2026-09-05
Cotorro,La Guarapeta,3700,yes,BizneCubano verificado 2026-09-05
Cotorro,El Cafetal,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,La Gomera,3000,yes,BizneCubano verificado 2026-09-05
Cotorro,Loma de Tierra,3600,yes,BizneCubano verificado 2026-09-05
